case,step,bank,saturation_percent,pre_tanh_rms,mean_tanh_derivative,sample_diversity_rms,sample_diversity_rms_relative_to_real,spatial_sample_diversity_rms,spatial_sample_diversity_rms_relative_to_real,sample_mean_color_diversity_rms,sample_mean_color_diversity_rms_relative_to_real,pooled_4x4_sample_diversity_rms,pooled_4x4_sample_diversity_rms_relative_to_real
cifar,64,fixed_latent,0.027974446614583332,0.5189356343548099,0.8348366898599583,0.3659174721895764,0.8084283844093202,0.3489357970572416,0.9356290445836164,0.11017897252033595,0.4295674166461142,0.23007634458589477,0.622470282657775
cifar,64,evolving_prior,0.0274658203125,0.519339161339567,0.8345972067064836,0.36564339564419995,0.8078228619196252,0.3484184383989744,0.9342418100515796,0.1109039429499286,0.43239394213878435,0.2300957272895942,0.6225227224558437
cifar,128,fixed_latent,0.052897135416666664,0.49315395891642505,0.8498811461990559,0.370524755515218,0.818607342503824,0.3281407558813047,0.8798696622800374,0.17208206989473973,0.6709161333135112,0.2969806671014885,0.8034795586103528
cifar,128,evolving_prior,0.057474772135416664,0.49735373129783444,0.8480292480338355,0.37274122528041054,0.8235042310307495,0.3280594827312833,0.8796517381795407,0.17695478748433047,0.6899139571189586,0.2998869682382466,0.8113425403234121
cifar,256,fixed_latent,0.0,0.3311204622605131,0.9121447866234944,0.22210719168871867,0.4907056147610679,0.20543237589465227,0.5508420150808567,0.0844342556912034,0.32919353179676136,0.16049073217071919,0.4342067916546056
cifar,256,evolving_prior,0.0,0.3322835935281999,0.9116659485073363,0.22177010066984765,0.4899608732045794,0.20435780710800286,0.5479606891301483,0.08613863375467866,0.3358385863381825,0.16097367189249664,0.4355133824110892
cifar,512,fixed_latent,0.18768310546875,0.5729091658707544,0.8282031752694731,0.3848056018378593,0.8501582860855215,0.3724735677727164,0.9987427236955797,0.096637428134552,0.3767714420047075,0.2600050229606333,0.703442157106789
cifar,512,evolving_prior,0.22328694661458334,0.5855706507034432,0.8245094442187657,0.388832340240277,0.8590546353131938,0.37471388291769026,1.0047498572036224,0.10382723518170994,0.4048031686471175,0.26516475254840255,0.7174017770786603
logos,0,fixed_latent,1.0104497273763022,0.9985208314429637,0.6125122023787566,0.5518607460359599,0.7551060074334924,0.5512911826655621,1.0802632938803691,0.025066210933686512,0.047913803573014634,0.05130702018432424,0.08708142622179071
logos,0,evolving_prior,1.0104497273763022,0.9985208314429637,0.6125122023787566,0.5518607460359599,0.7551060074334924,0.5512911826655621,1.0802632938803691,0.025066210933686512,0.047913803573014634,0.05130702018432424,0.08708142622179071
logos,1,fixed_latent,26.313209533691406,2.241679470768737,0.29195145706334874,0.33393328020680013,0.45691785070303914,0.3335680208337084,0.6536315113488339,0.015614451855765338,0.029846863616391158,0.0277689516140118,0.04713117040406221
logos,1,evolving_prior,26.31222407023112,2.241677708032824,0.29195134527785577,0.3339298010427523,0.4569130901947184,0.33356490124838767,0.6536253984748753,0.015606687015684288,0.029832021204691857,0.027765426788278955,0.047125187853313856
logos,8,fixed_latent,81.34743372599283,6.8328603902827,0.04757566313447296,0.10719259934851333,0.14667065251856057,0.1071549210182645,0.2099716657447498,0.0028418755532918774,0.005432215798375289,0.00742477758925091,0.012601788595961004
logos,8,evolving_prior,81.34568532307944,6.832654683551687,0.04757870739963771,0.10720234689190222,0.14668398999295704,0.1071647738842915,0.20999097258266625,0.0028380305601615175,0.005424866133678258,0.007423171033088712,0.01259906185015883
logos,16,fixed_latent,84.38084920247397,8.468440150449563,0.05516911608413468,0.12755164523911444,0.17452774865745738,0.1273875843374948,0.2496178712500235,0.006467268346261221,0.012362116716264393,0.010367031485354603,0.017595562638165294
logos,16,evolving_prior,84.38313802083334,8.468009973191242,0.05516496650899416,0.12754977939472256,0.17452519563965468,0.1273874251988664,0.24961755941550787,0.006433515745346203,0.012297598967866004,0.01033981871236264,0.017549375448282185
logos,32,fixed_latent,99.62549209594727,14.635395603767924,0.0003758623536493757,0.0038550072953786175,0.00527477119608477,0.0038542400099986682,0.007552440778165847,7.691029025968735e-05,0.00014701322629076888,0.00022097232338837548,0.0003750478006142648
