case,step,bank,stage,rms,sample_diversity_rms,batch_mean_rms,diversity_to_rms
cifar,1,fixed_latent,stage32_position,0.7345684766769409,0.6827883124351501,0.27090767307228725,0.9295094114628561
cifar,1,fixed_latent,stage32_block0_attention,0.16216827929019928,0.031953755766153336,0.1589890194333593,0.19704072773055856
cifar,1,fixed_latent,stage32_block0_attention_residual,0.7431616187095642,0.6813694834709167,0.29668976813768927,0.9168523593213221
cifar,1,fixed_latent,stage32_block0_ffn,0.2170114815235138,0.16870267689228058,0.13650417547609725,0.7773905588216593
cifar,1,fixed_latent,stage32_block0,0.7639821171760559,0.7014079093933105,0.3028128464998047,0.9180946695270285
cifar,1,fixed_latent,stage32_block1_attention,0.16953317821025848,0.028801342472434044,0.16706879177709053,0.1698861708161575
cifar,1,fixed_latent,stage32_block1_attention_residual,0.7904249429702759,0.7024663686752319,0.3623707926279338,0.8887198903864151
cifar,1,fixed_latent,stage32_block1_ffn,0.1868397444486618,0.15935161709785461,0.09755076746976406,0.8528785862348461
cifar,1,fixed_latent,stage32_block1,0.8208034038543701,0.7320596575737,0.3712234980870653,0.891881849095724
cifar,1,fixed_latent,output_projection,1.0108948945999146,0.909423291683197,0.44142696391619657,0.8996220047615561
cifar,1,evolving_prior,input_projection,0.5814992785453796,0.5725140571594238,0.10182860749147561,0.9845481813693177
cifar,1,evolving_prior,stage8_position,0.5818549394607544,0.5725140571594238,0.10384038197991255,0.9839463727677771
cifar,1,evolving_prior,stage8_block0_attention,0.057371947914361954,0.04329650104045868,0.03764244154065755,0.7546632564243168
cifar,1,evolving_prior,stage8_block0_attention_residual,0.5846236944198608,0.5741057395935059,0.11039684706965351,0.9820090172075693
cifar,1,evolving_prior,stage8_block0_ffn,0.19816994667053223,0.1828841120004654,0.0763199144470355,0.9228650210242004
cifar,1,evolving_prior,stage8_block0,0.6168644428253174,0.6018986701965332,0.13505455060024527,0.9757389604752723
cifar,1,evolving_prior,stage8_block1_attention,0.07741217315196991,0.04976973682641983,0.05929264582002966,0.6429187400373779
cifar,1,evolving_prior,stage8_block1_attention_residual,0.6219297051429749,0.6039749979972839,0.14836023703610246,0.9711306486935476
cifar,1,evolving_prior,stage8_block1_ffn,0.20322836935520172,0.18187959492206573,0.09067294558885564,0.8949517997862656
cifar,1,evolving_prior,stage8_block1,0.654323935508728,0.6294968128204346,0.1785317205107956,0.9620568324938462
cifar,1,evolving_prior,stage16_upsample,0.654323935508728,0.6294968128204346,0.1785317205107956,0.9620568324938462
cifar,1,evolving_prior,stage16_position,0.6546676754951477,0.6294968128204346,0.17978745225163736,0.9615516946736746
cifar,1,evolving_prior,stage16_block0_attention,0.08422274887561798,0.030061477795243263,0.07867514843285335,0.3569282432189279
cifar,1,evolving_prior,stage16_block0_attention_residual,0.6609051823616028,0.6299930214881897,0.19976098955653174,0.9532275405029279
cifar,1,evolving_prior,stage16_block0_ffn,0.2001892775297165,0.17935441434383392,0.08892547943784274,0.8959241801410178
cifar,1,evolving_prior,stage16_block0,0.6929092407226562,0.6555899977684021,0.22433227744770595,0.9461412249094372
cifar,1,evolving_prior,stage16_block1_attention,0.12802620232105255,0.03283308818936348,0.12374448190000459,0.25645600349081377
cifar,1,evolving_prior,stage16_block1_attention_residual,0.702871561050415,0.6561385989189148,0.25201303605601594,0.9335113771545123
cifar,1,evolving_prior,stage16_block1_ffn,0.19791780412197113,0.17252391576766968,0.09698946167833364,0.8716947751772148
cifar,1,evolving_prior,stage16_block1,0.7342566251754761,0.6827924847602844,0.2700503922769903,0.9299098725831824
cifar,1,evolving_prior,stage32_upsample,0.7342566251754761,0.6827924847602844,0.2700503922769903,0.9299098725831824
cifar,1,evolving_prior,stage32_position,0.7345719337463379,0.6827924847602844,0.2709065311185963,0.9295107169123972
cifar,1,evolving_prior,stage32_block0_attention,0.1621660590171814,0.031951259821653366,0.15898725638545108,0.19702803419714449
cifar,1,evolving_prior,stage32_block0_attention_residual,0.7431643009185791,0.6813732385635376,0.2966878627939419,0.9168541030850574
cifar,1,evolving_prior,stage32_block0_ffn,0.2170107364654541,0.16870225965976715,0.13650350664714542,0.7773913051837545
cifar,1,evolving_prior,stage32_block0,0.7639853358268738,0.7014114260673523,0.30281282129504405,0.9180954046823467
cifar,1,evolving_prior,stage32_block1_attention,0.16953051090240479,0.02879766747355461,0.1670667186333441,0.16986716621253406
cifar,1,evolving_prior,stage32_block1_attention_residual,0.7904273271560669,0.7024698257446289,0.36236929151543,0.8887215833897009
cifar,1,evolving_prior,stage32_block1_ffn,0.18684042990207672,0.15935339033603668,0.09754918366856576,0.8528849479716675
cifar,1,evolving_prior,stage32_block1,0.8208054900169373,0.7320635318756104,0.37122047052897245,0.8918843024070225
cifar,1,evolving_prior,output_projection,1.0109003782272339,0.9094240069389343,0.44143804809179926,0.8996178323068257
cifar,8,fixed_latent,input_projection,0.5813719034194946,0.5723902583122253,0.10179726064521648,0.984550947415172
cifar,8,fixed_latent,stage8_position,0.5817296504974365,0.5723902583122253,0.10382089605244986,0.9839454767739189
cifar,8,fixed_latent,stage8_block0_attention,0.05726156383752823,0.04339871183037758,0.03735556858867451,0.7579030142019073
cifar,8,fixed_latent,stage8_block0_attention_residual,0.5844542980194092,0.5739573240280151,0.11027155874458472,0.9820397009193601
cifar,8,fixed_latent,stage8_block0_ffn,0.21429097652435303,0.1849883645772934,0.10816620355166026,0.8632578355732606
cifar,8,fixed_latent,stage8_block0,0.6205800175666809,0.6013002395629883,0.15348478786040942,0.9689326477521958
cifar,8,fixed_latent,stage8_block1_attention,0.10792368650436401,0.04967670515179634,0.09581099662331946,0.4602947393738965
cifar,8,fixed_latent,stage8_block1_attention_residual,0.6334746479988098,0.6033868789672852,0.19291035209997096,0.9525035940639867
cifar,8,fixed_latent,stage8_block1_ffn,0.23379100859165192,0.18413349986076355,0.1440593278039574,0.7875987231928923
cifar,8,fixed_latent,stage8_block1,0.6911730170249939,0.6304954886436462,0.28318823821522365,0.9122107968819138
cifar,8,fixed_latent,stage16_upsample,0.6911730170249939,0.6304954886436462,0.28318823821522365,0.9122107968819138
cifar,8,fixed_latent,stage16_position,0.6915553212165833,0.6304954886436462,0.2841200469924313,0.9117065103836948
cifar,8,fixed_latent,stage16_block0_attention,0.11195565015077591,0.029431050643324852,0.10801796544423978,0.26288133384682844
cifar,8,fixed_latent,stage16_block0_attention_residual,0.7087521553039551,0.6310251951217651,0.32270237180649897,0.8903326648102312
cifar,8,fixed_latent,stage16_block0_ffn,0.20110979676246643,0.16727827489376068,0.11163838543443733,0.8317758636658331
cifar,8,fixed_latent,stage16_block0,0.7484226226806641,0.6529953479766846,0.3656959087288403,0.8724954700565001
