case,round,g_updates,d_updates,prior_updates,d_penalty_only_updates,bank,saturation_percent,pixel_diversity_percent_of_real,spatial_diversity_percent_of_real,pooled_diversity_percent_of_real,pre_tanh_rms,mean_tanh_derivative
logos_g4,32,128,32,32,0,evolving_prior,99.94624455769858,0.1088924666143016,0.15588115824252288,0.00834750945007125,26.893687466093432,5.1798249939716535e-05
logos_g4,33,129,33,33,0,fixed_latent,99.49467976888022,3.2613093817753174,4.663627319799043,0.3292792364366154,27.027410610988152,0.0018756343078750312
logos_g4,33,129,33,33,0,evolving_prior,99.4940439860026,3.255875665095914,4.656053591805225,0.3271631834347016,27.026303103854495,0.001881361981509456
logos_g4,48,144,48,48,0,fixed_latent,99.99418258666992,0.03412563454672306,0.048862934480138585,0.0020835191534835642,28.86774796316722,1.7294841708257906e-05
logos_g4,48,144,48,48,0,evolving_prior,99.99415079752603,0.031016440062440483,0.044410580953067394,0.001922056762318123,28.866269634416042,1.7183885081403755e-05
logos_g4,64,160,64,64,0,fixed_latent,99.99910990397134,0.013132808679735103,0.018805000311494565,0.0007427489060136945,29.144411436393472,6.436935065286009e-06
logos_g4,64,160,64,64,0,evolving_prior,99.99914169311523,0.01438794532213422,0.020602514284918376,0.0007817323348867367,29.142601644391636,6.431157483121663e-06
logos_g4,96,192,96,96,0,fixed_latent,99.9993642171224,0.00829044775826169,0.011871273493641164,0.0005442932146236117,29.435648009709286,3.6027864099986804e-06
logos_g4,96,192,96,96,0,evolving_prior,99.9993642171224,0.008230006363131329,0.011784729672129285,0.0005436653961579088,29.433324596934767,3.5816905498492597e-06
logos_g4,128,224,128,128,0,fixed_latent,99.99955495198569,0.006758299689226188,0.009677258061376983,0.00046004503726878595,29.27843717416333,4.618227941948114e-06
logos_g4,128,224,128,128,0,evolving_prior,99.99965031941733,0.0066702388381404505,0.00955115700118127,0.0004478979620662081,29.275891115360853,4.611261629703467e-06
logos_g4_interp,0,0,0,0,0,fixed_latent,1.0104497273763022,75.51060074334924,108.02632938803691,8.708142622179071,0.9985208314429637,0.6125122023787566
logos_g4_interp,0,0,0,0,0,evolving_prior,1.0104497273763022,75.51060074334924,108.02632938803691,8.708142622179071,0.9985208314429637,0.6125122023787566
logos_g4_interp,1,4,1,1,3,fixed_latent,86.39790217081705,13.57205321578647,19.429592835846556,1.1523922998370928,5.292891298731332,0.03542318729572099
logos_g4_interp,1,4,1,1,3,evolving_prior,86.39796574910483,13.57184209026934,19.429291988390215,1.152339529061444,5.292891326216335,0.03542335380456306
logos_g4_interp,4,16,4,4,12,fixed_latent,52.20864613850912,41.974703250240594,59.76129461016409,10.355626772200758,4.2251395696749965,0.19604492399142878
logos_g4_interp,4,16,4,4,12,evolving_prior,52.204481760660805,41.96419421043197,59.74736250802651,10.345828757231125,4.224987790691183,0.1960504490012623
logos_g4_interp,8,32,8,8,24,fixed_latent,98.14319610595703,84.92722706621255,117.38556626875604,52.99858675298264,13.974429573279773,0.006209016748916239
logos_g4_interp,8,32,8,8,24,evolving_prior,98.15778732299805,84.91739790010311,117.395984855474,52.99264960902442,13.97626401667239,0.006134484523922723
logos_g4_interp,16,64,16,16,48,fixed_latent,98.44010670979819,90.72079295406436,107.21667191524594,72.61019694008877,19.742808900556415,0.005392187241650609
logos_g4_interp,16,64,16,16,48,evolving_prior,98.41623306274414,91.07408081891394,108.10357331105583,72.44988272226249,19.68825126155526,0.005493991632277355
logos_g4_interp,32,128,32,32,96,fixed_latent,99.86708958943686,97.13738956856545,99.56398868290484,86.30146924345125,39.55513424606431,0.0002760070980501296
logos_g4_interp,32,128,32,32,96,evolving_prior,99.85354741414389,97.0659596394592,100.61007770233937,85.52728402394794,39.354962036536115,0.00032650711102618295
logos_g4_interp,33,129,33,33,96,fixed_latent,99.85211690266928,96.91852373011916,100.90063467647637,84.86229116429459,40.34009615763064,0.0004317058021107066
logos_g4_interp,33,129,33,33,96,evolving_prior,99.8591423034668,96.83731777013809,100.69054659518383,84.92941684922285,40.454668176815346,0.00041612324266969403
logos_g4_interp,48,144,48,48,96,fixed_latent,99.97994105021158,96.68888257916957,93.49499969740292,88.98004415442288,57.97643019845139,7.059837402826083e-05
logos_g4_interp,48,144,48,48,96,evolving_prior,99.9837875366211,96.69898238924783,92.57212456439947,89.58743236373995,58.34868548989869,4.7693421190668726e-05
logos_g4_interp,64,160,64,64,96,fixed_latent,99.97469584147134,96.2321104518568,94.67923313856097,87.57803549834185,57.35265308628413,9.924658400452908e-05
logos_g4_interp,64,160,64,64,96,evolving_prior,99.97755686442056,96.44818274558449,94.06146221095133,88.35997246976159,57.402951139872485,8.887287473394981e-05
logos_g4_interp,96,192,96,96,96,fixed_latent,99.96830622355142,96.08511629279775,97.76613663515383,85.33311620409071,58.174583237730694,0.00011564290949116218
logos_g4_interp,96,192,96,96,96,evolving_prior,99.97472763061523,96.0831151729119,95.9220690984009,86.56005173588483,58.041746234097204,8.407443018188508e-05
logos_g4_interp,128,224,128,128,96,fixed_latent,99.9934196472168,95.13715947158668,93.76154678773536,86.41850372847104,59.513790364630644,2.3236794299574145e-05
logos_g4_interp,128,224,128,128,96,evolving_prior,99.99297459920248,95.14761178128929,93.57069430306493,86.57208488519515,59.347230379666804,2.2646782149235234e-05
